business_name,phone,email,website,about_blurb,country_code,city,source_url,last_scraped_at
Carrefour UAE,,,https://www.carrefouruae.com/mafuae/en/,,AE,Sharjah,https://www.carrefouruae.com/mafuae/en/?city=Sharjah&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.547211+00:00
Carrefour UAE,,,https://www.carrefouruae.com/mafuae/en/,,AE,Dubai,https://www.carrefouruae.com/mafuae/en/?city=Dubai&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.508599+00:00
Carrefour UAE,,,https://www.carrefouruae.com/mafuae/en/,,AE,Abu Dhabi,https://www.carrefouruae.com/mafuae/en/?city=Abu+Dhabi&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.528397+00:00
Hilton Hotels,+1-855-672-1138,,https://www.hilton.com/,"Take advantage of hotel offers, unique promotions, and exclusive online specials directly from Hilton Portfolio.",AE,Abu Dhabi,https://www.hilton.com/en/offers/?city=Abu+Dhabi&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.529896+00:00
Hilton Hotels,+1-855-672-1138,,https://www.hilton.com/,"Take advantage of hotel offers, unique promotions, and exclusive online specials directly from Hilton Portfolio.",AE,Sharjah,https://www.hilton.com/en/offers/?city=Sharjah&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.548622+00:00
Hilton Hotels,+1-855-672-1138,,https://www.hilton.com/,"Take advantage of hotel offers, unique promotions, and exclusive online specials directly from Hilton Portfolio.",AE,Dubai,https://www.hilton.com/en/offers/?city=Dubai&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.510413+00:00
Jones the Grocer Cafe,,,https://jonesthegrocer.com/,,AE,Abu Dhabi,https://jonesthegrocer.com/?city=Abu+Dhabi&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.531330+00:00
Jones the Grocer Cafe,,,https://jonesthegrocer.com/,,AE,Dubai,https://jonesthegrocer.com/?city=Dubai&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.512174+00:00
Jones the Grocer Cafe,,,https://jonesthegrocer.com/,,AE,Sharjah,https://jonesthegrocer.com/?city=Sharjah&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.549899+00:00
Lulu Hypermarket,,,https://www.luluhypermarket.com/,,AE,Dubai,https://www.luluhypermarket.com/?city=Dubai&country=AE&utm_source=mealdeals_scraper,2026-08-07T20:58:09.509233+00:00
